이름,전화,주소,제품코드,제품명,수량
홍민지,010-7777-7777,대전시 동구 가양2동 153-9번지,15,SIDON 원목테이블,1
,,,17,DUGED 사이드테이블,1
,,,13,TETOS 책상,2
노연아,010-8584-8454,대전시 서구 만년동 강변A,24,SAMONY 캔들워머,1
천세은,010-1654-5823,서울특별시 도봉구 도봉로 476,8,FIERA 원목침대,1
정정화,010-8465-7188,대전시 동구 비례동 ,20,MKB 캐비넷,2
강진희,010-5692-8123,세종특별자치시 시청대로 219,30,ANTHOR 담요,5
정승아,010-4897-1369,대전시 유성구 궁동,25,RUSTA 장스탠드,6
김자바,010-2165-5118,경상남도 양산시 평산5길 19,26,RETRO 펜던트등,8
박이젠,010-6794-1358,대구광역시 중구 동성로1길 26,17,DUGED 사이드테이블,1
박지영,010-7846-3154,경기도 포천시 중앙로 58,13,TETOS 책상,2
라이언,010-4786-9318,경상북도 구미시 산호대로 142-46,6,MAKA 에펠의자,8
